Phrases
Donald Trump sure does think he’s the king of the United States. He believes he’s above the law and can do whatever he wants whenever he wants.
Veterans Group Trolls Trump With Brutal Block Of Next Year’s Military Parade Attempts
"If you need a lesson in trolling Trump, look no further than this veterans’ group."
