x-values
1
2
3
3.5
3.5
3.5
4
4
4
4
4
4.5
4.5
4.5
4.5
5
5.5
5.5
5.5
6
6
6.5
6.5
8
10
10
12
13
13
13
13
13
14
15
15
15
15.5
15.5
16
16
16.5
17
17
17
17.5
17.5
17.5
17.5
18
18
18
19
20
20.5
21
23
23
23.5
23.5
23.5
24
24
25
25.5
26
26
26.5
27.5
28
28.5
28.5
30
30.5
35
